source,bucket,episodes,wins,losses,pushes,reward_sum,win_rate,loss_rate,push_rate,average_reward,stand_actions,hit_actions,stand_rate,hit_rate,agent_name,agent_type,train_seed,eval_seed,comparison_id
20260608_170145_counting-1_agent,>= 3,88831,37877,43584,7370,-5707.0,0.42639393905280815,0.49063952899325686,0.082966531953935,-0.06424558994044871,77002,62327,0.5526631211018525,0.44733687889814755,counting-1,counting,1,4321,counting-1 | 20260608_170145_counting-1_agent
20260608_170145_counting-1_agent,<= -3,92319,39946,42980,9393,-3034.0,0.4326953281556343,0.46555963561130426,0.10174503623306146,-0.03286430745567001,72528,68626,0.5138217833005086,0.48617821669949135,counting-1,counting,1,9876,counting-1 | 20260608_170145_counting-1_agent
20260608_170145_counting-1_agent,-2 to 0,635450,272687,301786,60977,-29099.0,0.42912424266268,0.4749169879612873,0.09595876937603273,-0.04579274529860729,512328,473055,0.5199277844249394,0.48007221557506063,counting-1,counting,1,9876,counting-1 | 20260608_170145_counting-1_agent
20260608_170145_counting-1_agent,1 to 2,183236,77847,89394,15995,-11547.0,0.4248455543670458,0.4878626470780851,0.08729179855486913,-0.06301709271103932,154224,141531,0.5214586397524978,0.47854136024750216,counting-1,counting,1,9876,counting-1 | 20260608_170145_counting-1_agent
20260608_170145_counting-1_agent,>= 3,88995,37967,43666,7362,-5699.0,0.42661947300410136,0.4906567784707006,0.08272374852519805,-0.06403730546659925,77190,62519,0.5525055651389674,0.4474944348610326,counting-1,counting,1,9876,counting-1 | 20260608_170145_counting-1_agent
20260608_170145_baseline-42_agent,<= -3,90966,39924,42093,8949,-2169.0,0.4388892553261658,0.462733328936086,0.09837741573774816,-0.02384407360992019,73896,62204,0.5429537105069802,0.45704628949301984,baseline-42,baseline,42,1234,baseline-42 | 20260608_170145_baseline-42_agent
20260608_170145_baseline-42_agent,-2 to 0,636963,272573,303969,60421,-31396.0,0.4279259548827797,0.4772161020341841,0.09485794308303622,-0.049290147151404395,514566,460728,0.5276009080338852,0.47239909196611485,baseline-42,baseline,42,1234,baseline-42 | 20260608_170145_baseline-42_agent
20260608_170145_baseline-42_agent,1 to 2,184490,77997,90447,16046,-12450.0,0.4227708818906174,0.4902542143205594,0.08697490378882325,-0.067483332429942,151800,146754,0.5084507325307984,0.4915492674692016,baseline-42,baseline,42,1234,baseline-42 | 20260608_170145_baseline-42_agent
20260608_170145_baseline-42_agent,>= 3,87581,37125,42906,7550,-5781.0,0.42389331019285004,0.48990077756591044,0.08620591224123954,-0.06600746737306036,72577,69548,0.5106561125769569,0.4893438874230431,baseline-42,baseline,42,1234,baseline-42 | 20260608_170145_baseline-42_agent
20260608_170145_baseline-42_agent,<= -3,90808,39890,41951,8967,-2061.0,0.4392784776671659,0.4619747158840631,0.09874680644877103,-0.022696238216897188,73767,61995,0.5433552835108498,0.4566447164891501,baseline-42,baseline,42,4321,baseline-42 | 20260608_170145_baseline-42_agent
20260608_170145_baseline-42_agent,-2 to 0,637400,272730,304163,60507,-31433.0,0.42787888296203325,0.4771932852212112,0.09492783181675557,-0.04931440225917791,514975,461122,0.5275858854191745,0.4724141145808255,baseline-42,baseline,42,4321,baseline-42 | 20260608_170145_baseline-42_agent
20260608_170145_baseline-42_agent,1 to 2,184356,77942,90401,16013,-12459.0,0.42277983900713834,0.49036104059536983,0.08685912039749182,-0.06758120158823147,151693,146611,0.5085181559751126,0.49148184402488737,baseline-42,baseline,42,4321,baseline-42 | 20260608_170145_baseline-42_agent
20260608_170145_baseline-42_agent,>= 3,87436,37053,42860,7523,-5807.0,0.4237728166887781,0.49018710828491696,0.08604007502630495,-0.06641429159613889,72429,69433,0.5105595578801935,0.4894404421198066,baseline-42,baseline,42,4321,baseline-42 | 20260608_170145_baseline-42_agent
20260608_170145_baseline-42_agent,<= -3,90930,39931,42039,8960,-2108.0,0.4391399978005059,0.46232266578686904,0.09853733641262509,-0.023182667986363138,73854,62101,0.5432238608363061,0.45677613916369386,baseline-42,baseline,42,9876,baseline-42 | 20260608_170145_baseline-42_agent
20260608_170145_baseline-42_agent,-2 to 0,637253,272675,304120,60458,-31445.0,0.42789127709088853,0.4772358859040287,0.09487283700508276,-0.04934460881314015,514865,460946,0.527627788577911,0.4723722114220889,baseline-42,baseline,42,9876,baseline-42 | 20260608_170145_baseline-42_agent
20260608_170145_baseline-42_agent,1 to 2,184315,77886,90423,16006,-12537.0,0.42257005669641645,0.49058947996636193,0.0868404633372216,-0.06801942326994548,151607,146574,0.5084395048644951,0.4915604951355049,baseline-42,baseline,42,9876,baseline-42 | 20260608_170145_baseline-42_agent
20260608_170145_baseline-42_agent,>= 3,87502,37092,42880,7530,-5788.0,0.42389888231126144,0.4900459418070444,0.08605517588169413,-0.06614705949578295,72495,69446,0.5107403780443988,0.4892596219556013,baseline-42,baseline,42,9876,baseline-42 | 20260608_170145_baseline-42_agent
20260608_170145_counting-42_agent,<= -3,90847,39314,42269,9264,-2955.0,0.4327495679549132,0.4652767840435017,0.10197364800158508,-0.03252721608858851,71348,67956,0.5121748119221271,0.48782518807787284,counting-42,counting,42,1234,counting-42 | 20260608_170145_counting-42_agent
20260608_170145_counting-42_agent,-2 to 0,636888,273584,302345,60959,-28761.0,0.4295637537526221,0.47472240017083067,0.0957138460765472,-0.04515864641820854,514429,468950,0.523123841367367,0.476876158632633,counting-42,counting,42,1234,counting-42 | 20260608_170145_counting-42_agent
20260608_170145_counting-42_agent,1 to 2,183974,78046,89944,15984,-11898.0,0.4242229880309174,0.48889516996966964,0.08688184199941296,-0.06467218193875221,154867,141555,0.5224544736895372,0.47754552631046276,counting-42,counting,42,1234,counting-42 | 20260608_170145_counting-42_agent
20260608_170145_counting-42_agent,>= 3,88291,37676,43237,7378,-5561.0,0.4267252607853575,0.48971016298376957,0.0835645762308729,-0.06298490219841207,76986,62036,0.5537684682999813,0.4462315317000187,counting-42,counting,42,1234,counting-42 | 20260608_170145_counting-42_agent
20260608_170145_counting-42_agent,<= -3,90752,39272,42237,9243,-2965.0,0.4327397743300423,0.46541123060648804,0.10184899506346967,-0.0326714562764457,71276,67849,0.5123162623539982,0.4876837376460018,counting-42,counting,42,4321,counting-42 | 20260608_170145_counting-42_agent
20260608_170145_counting-42_agent,-2 to 0,636775,273487,302313,60975,-28826.0,0.4294876526245534,0.47475638961956734,0.09575595775587924,-0.045268736995013936,514372,468809,0.5231712166935691,0.47682878330643086,counting-42,counting,42,4321,counting-42 | 20260608_170145_counting-42_agent
20260608_170145_counting-42_agent,1 to 2,184253,78180,90065,16008,-11885.0,0.42430788101143535,0.4888115797300451,0.08688053925851953,-0.06450369871860974,155075,141780,0.5223930875343181,0.4776069124656819,counting-42,counting,42,4321,counting-42 | 20260608_170145_counting-42_agent
20260608_170145_counting-42_agent,>= 3,88220,37645,43201,7374,-5556.0,0.4267172976649286,0.48969621401042845,0.08358648832464294,-0.06297891634549989,76905,62039,0.5534963726393367,0.4465036273606633,counting-42,counting,42,4321,counting-42 | 20260608_170145_counting-42_agent
20260608_170145_counting-42_agent,<= -3,90709,39277,42191,9241,-2914.0,0.4330000330727932,0.46512473955175343,0.10187522737545338,-0.032124706478960194,71255,67794,0.5124452531122122,0.48755474688778777,counting-42,counting,42,9876,counting-42 | 20260608_170145_counting-42_agent
20260608_170145_counting-42_agent,-2 to 0,636834,273497,302378,60959,-28881.0,0.42946356507347283,0.4748144728453569,0.09572196208117029,-0.04535090777188404,514419,468855,0.5231695336193167,0.4768304663806833,counting-42,counting,42,9876,counting-42 | 20260608_170145_counting-42_agent
