agent_type,bucket,episodes,average_reward,win_rate,loss_rate,push_rate,stand_rate,hit_rate,stand_actions,hit_actions,comparison_id,aggregation,wins,losses,pushes,reward_sum
baseline,<= -3,826998,-0.02794182615269762,0.4364432362741706,0.46438506242686817,0.09917170129896125,0.5376301748951712,0.4623698251048289,671047,577271,baseline (all seeds),mean,,,,
baseline,-2 to 0,5726933,-0.04846067482379158,0.42814395677302297,0.4766046315968146,0.09525141163016242,0.5242119146860869,0.47578808531391314,4624844,4197846,baseline (all seeds),mean,,,,
baseline,1 to 2,1653001,-0.06668684015055171,0.4226996062719923,0.4893864464225441,0.0879139473054636,0.5053250754595229,0.4946749245404771,1361533,1332863,baseline (all seeds),mean,,,,
baseline,>= 3,793068,-0.06714204330079322,0.42298638166309166,0.49012842496388487,0.08688519337302346,0.5064015387531678,0.4935984612468321,655701,639196,baseline (all seeds),mean,,,,
counting,<= -3,832289,-0.03166969906825315,0.43321411311319874,0.46488381218145186,0.1019020747053494,0.5137493207169515,0.48625067928304855,654487,619416,counting (all seeds),mean,,,,
counting,-2 to 0,5723838,-0.046412100225504904,0.4289556274218607,0.4753677276473656,0.0956766449307737,0.5219437903133157,0.4780562096866843,4619736,4231322,counting (all seeds),mean,,,,
counting,1 to 2,1649631,-0.06374856038109585,0.42454651819934414,0.48829507858044,0.08715840322021594,0.5214578095381633,0.4785421904618366,1387914,1273683,counting (all seeds),mean,,,,
counting,>= 3,794242,-0.06366751861972113,0.42666541671644537,0.4903329353361665,0.08300164794738811,0.5541390180986893,0.4458609819013108,691296,556239,counting (all seeds),mean,,,,
baseline,<= -3,826998,-0.028710464029562684,0.43537997142560453,0.4640904354551672,0.09855374325275756,0.5371857173040355,0.46281428269596453,671047,577271,baseline (all seeds),median,,,,
baseline,-2 to 0,5726933,-0.04823207548256956,0.4278986993203656,0.4767177242429234,0.09488621145669424,0.5248936924770282,0.4751063075229717,4624844,4197846,baseline (all seeds),median,,,,
baseline,1 to 2,1653001,-0.06769457716650307,0.4227069515023655,0.48965644288153154,0.08766153712271745,0.5043124827317605,0.4956875172682394,1361533,1332863,baseline (all seeds),median,,,,
baseline,>= 3,793068,-0.06687825380725859,0.42344874563507956,0.49004453011020155,0.08622425492258232,0.5043674946346839,0.4956325053653161,655701,639196,baseline (all seeds),median,,,,
counting,<= -3,832289,-0.03234500377820158,0.43299629376416826,0.46527094319667434,0.10189931988777413,0.5137507148959606,0.4862492851040394,654487,619416,counting (all seeds),median,,,,
counting,-2 to 0,5723838,-0.045760205553079365,0.42917804986759656,0.4749382554206759,0.0957305873811893,0.5227005317804727,0.47729946821952723,4619736,4231322,counting (all seeds),median,,,,
counting,1 to 2,1649631,-0.06368095566075209,0.4245336307018407,0.4882145863625928,0.08725178293556651,0.5215363654234179,0.47846363457658214,1387914,1273683,counting (all seeds),median,,,,
counting,>= 3,794242,-0.06387924999239035,0.4267582809849924,0.4906387685846598,0.0828955509308735,0.5535895037298217,0.4464104962701782,691296,556239,counting (all seeds),median,,,,
baseline,<= -3,826998,-0.02795895516071381,0.43643031784841074,0.4643892730091246,0.09918040914246468,0.53756094200356,0.46243905799644003,671047,577271,baseline (all seeds),weighted,360927.0,384049.0,82022.0,-23122.0
baseline,-2 to 0,5726933,-0.04846136666868636,0.42814347574871225,0.47660484241739864,0.0952516818338891,0.5241988554511152,0.4758011445488847,4624844,4197846,baseline (all seeds),weighted,2451949.0,2729484.0,545500.0,-277535.0
baseline,1 to 2,1653001,-0.06668417018501502,0.42270270858880304,0.48938687877381803,0.08791041263737892,0.5053203018413032,0.4946796981586968,1361533,1332863,baseline (all seeds),weighted,698728.0,808957.0,145316.0,-110229.0
baseline,>= 3,793068,-0.06714178355449973,0.4229876883192866,0.49012947187378636,0.08688283980692703,0.5063730937673036,0.4936269062326965,655701,639196,baseline (all seeds),weighted,335458.0,388706.0,68904.0,-53248.0
counting,<= -3,832289,-0.03165727289439125,0.4332197109417522,0.46487698383614345,0.10190330522210433,0.5137651767834757,0.48623482321652434,654487,619416,counting (all seeds),weighted,360564.0,386912.0,84813.0,-26348.0
counting,-2 to 0,5723838,-0.04641116677306381,0.4289560606012958,0.47536722737435966,0.09567671202434451,0.5219416707019658,0.4780583292980342,4619736,4231322,counting (all seeds),weighted,2455275.0,2720925.0,547638.0,-265650.0
counting,1 to 2,1649631,-0.0637506205933327,0.4245458529816668,0.4882964735749995,0.0871576734433337,0.5214591089484997,0.4785408910515003,1387914,1273683,counting (all seeds),weighted,700344.0,805509.0,143778.0,-105165.0
counting,>= 3,794242,-0.06366825224553725,0.4266646689548022,0.49033292120033944,0.08300240984485836,0.5541295434597026,0.44587045654029744,691296,556239,counting (all seeds),weighted,338875.0,389443.0,65924.0,-50568.0
