eval_run,source,episodes,win_rate,loss_rate,push_rate,average_reward,std_reward,action_distribution,agent_name,agent_type,train_seed,eval_seed
baseline-1__eval_seed_1234,in_memory,1000000,0.426638,0.478565,0.094797,-0.051927,0.9500034666626223,"{'stand': 811302, 'hit': 759122}",baseline-1,baseline,1,1234
baseline-1__eval_seed_4321,in_memory,1000000,0.426639,0.47852,0.094841,-0.051881,0.9499828218652167,"{'stand': 811240, 'hit': 759135}",baseline-1,baseline,1,4321
baseline-1__eval_seed_9876,in_memory,1000000,0.426675,0.47855,0.094775,-0.051875,0.9500178863447782,"{'stand': 811222, 'hit': 759376}",baseline-1,baseline,1,9876
counting-1__eval_seed_1234,in_memory,1000000,0.428518,0.477778,0.093704,-0.04926,0.9507204912065375,"{'stand': 816248, 'hit': 745533}",counting-1,counting,1,1234
counting-1__eval_seed_4321,in_memory,1000000,0.428534,0.477772,0.093694,-0.049238,0.9507268899931252,"{'stand': 816249, 'hit': 745497}",counting-1,counting,1,4321
counting-1__eval_seed_9876,in_memory,1000000,0.428424,0.477834,0.093742,-0.04941,0.9506927221242414,"{'stand': 816232, 'hit': 745708}",counting-1,counting,1,9876
baseline-42__eval_seed_1234,in_memory,1000000,0.4276,0.47945,0.09295,-0.05185,0.9509792729076696,"{'stand': 812839, 'hit': 739233}",baseline-42,baseline,42,1234
baseline-42__eval_seed_4321,in_memory,1000000,0.427563,0.479465,0.092972,-0.051902,0.9509648691702549,"{'stand': 812854, 'hit': 739180}",baseline-42,baseline,42,4321
baseline-42__eval_seed_9876,in_memory,1000000,0.427583,0.479465,0.092952,-0.051882,0.9509764760897085,"{'stand': 812820, 'hit': 739063}",baseline-42,baseline,42,9876
counting-42__eval_seed_1234,in_memory,1000000,0.428626,0.477792,0.093582,-0.049166,0.9507895163725776,"{'stand': 817640, 'hit': 740494}",counting-42,counting,42,1234
counting-42__eval_seed_4321,in_memory,1000000,0.428592,0.477816,0.093592,-0.049224,0.9507812565590468,"{'stand': 817612, 'hit': 740468}",counting-42,counting,42,4321
counting-42__eval_seed_9876,in_memory,1000000,0.428601,0.47785,0.093549,-0.049249,0.950802574669947,"{'stand': 817621, 'hit': 740438}",counting-42,counting,42,9876
baseline-123__eval_seed_1234,in_memory,1000000,0.428202,0.47905,0.092748,-0.050848,0.951139569619517,"{'stand': 813616, 'hit': 750631}",baseline-123,baseline,123,1234
baseline-123__eval_seed_4321,in_memory,1000000,0.428086,0.479088,0.092826,-0.051002,0.9510903195785351,"{'stand': 813615, 'hit': 750707}",baseline-123,baseline,123,4321
baseline-123__eval_seed_9876,in_memory,1000000,0.428162,0.479084,0.092754,-0.050922,0.9511324565569192,"{'stand': 813584, 'hit': 750675}",baseline-123,baseline,123,9876
counting-123__eval_seed_1234,in_memory,1000000,0.427933,0.478603,0.093464,-0.05067,0.9507726074619525,"{'stand': 817348, 'hit': 740697}",counting-123,counting,123,1234
counting-123__eval_seed_4321,in_memory,1000000,0.427914,0.478653,0.093433,-0.050739,0.9507852301540027,"{'stand': 817242, 'hit': 740849}",counting-123,counting,123,4321
counting-123__eval_seed_9876,in_memory,1000000,0.427964,0.478629,0.093407,-0.050665,0.9508028490570483,"{'stand': 817228, 'hit': 740857}",counting-123,counting,123,9876
