source,bucket,episodes,wins,losses,pushes,reward_sum,win_rate,loss_rate,push_rate,average_reward,stand_actions,hit_actions,stand_rate,hit_rate,agent_name,agent_type,train_seed,eval_seed,comparison_id
in_memory,<= -3,93062,40519,43188,9355,-2669.0,0.43539790677182955,0.4640777116331048,0.10052438159506566,-0.02867980486127528,75249,66049,0.5325553086384803,0.4674446913615196,baseline-1,baseline,1,1234,baseline-1 | in_memory
in_memory,-2 to 0,636086,271991,302733,61362,-30742.0,0.4276009847724993,0.47593092757897515,0.09646808764852552,-0.04832994280647585,512493,472754,0.5201670241066454,0.47983297589335466,baseline-1,baseline,1,1234,baseline-1 | in_memory
in_memory,1 to 2,183003,77120,89572,16311,-12452.0,0.42141385660344366,0.4894564569979727,0.08912968639858362,-0.06804260039452906,150884,148911,0.5032905818976301,0.49670941810236996,baseline-1,baseline,1,1234,baseline-1 | in_memory
in_memory,>= 3,87849,37005,43081,7763,-6076.0,0.42123416316634227,0.4903982970779406,0.08836753975571719,-0.06916413391159831,72671,71402,0.5044040174078419,0.49559598259215815,baseline-1,baseline,1,1234,baseline-1 | in_memory
in_memory,<= -3,93085,40526,43194,9365,-2668.0,0.4353655261320299,0.4640275017457163,0.10060697212225385,-0.028661975613686417,75278,66037,0.5326964582669922,0.4673035417330078,baseline-1,baseline,1,4321,baseline-1 | in_memory
in_memory,-2 to 0,636411,272173,302818,61420,-30645.0,0.4276685978086488,0.4758214424326418,0.0965099597587094,-0.04815284462399298,512750,473054,0.5201338197045254,0.47986618029547456,baseline-1,baseline,1,4321,baseline-1 | in_memory
in_memory,1 to 2,182787,76966,89514,16307,-12548.0,0.42106933206409647,0.489717540087643,0.08921312784826055,-0.06864820802354653,150657,148726,0.5032249660134342,0.4967750339865657,baseline-1,baseline,1,4321,baseline-1 | in_memory
in_memory,>= 3,87717,36987,42981,7749,-5994.0,0.42166284756660627,0.48999623790143304,0.08834091453196073,-0.06833339033482677,72569,71314,0.5043611823495479,0.4956388176504521,baseline-1,baseline,1,4321,baseline-1 | in_memory
in_memory,<= -3,93103,40535,43216,9352,-2681.0,0.4353780221904772,0.4641740867641215,0.10044789104540133,-0.028796064573644243,75246,66107,0.532326869610125,0.467673130389875,baseline-1,baseline,1,9876,baseline-1 | in_memory
in_memory,-2 to 0,636633,272276,302966,61391,-30690.0,0.42768125434905196,0.4758879919828221,0.09643075366812591,-0.04820673763377016,512991,473307,0.5201176520686446,0.4798823479313554,baseline-1,baseline,1,9876,baseline-1 | in_memory
in_memory,1 to 2,182497,76824,89384,16289,-12560.0,0.4209603445536091,0.4897833936996225,0.08925626174676844,-0.06882304914601337,150413,148589,0.5030501468217604,0.4969498531782396,baseline-1,baseline,1,9876,baseline-1 | in_memory
in_memory,>= 3,87767,37041,42980,7746,-5939.0,0.4220378957922682,0.48970569804140507,0.08825640616632675,-0.06766780224913692,72592,71344,0.5043352601156069,0.4956647398843931,baseline-1,baseline,1,9876,baseline-1 | in_memory
in_memory,<= -3,92900,40249,43211,9440,-2962.0,0.4332508073196986,0.4651345532831001,0.10161463939720129,-0.03188374596340151,72960,69077,0.5136689735773073,0.48633102642269266,counting-1,counting,1,1234,counting-1 | in_memory
in_memory,-2 to 0,635618,272793,301898,60927,-29105.0,0.42917758779644377,0.47496766926046774,0.09585474294308846,-0.04579008146402399,512514,473089,0.5200004464272125,0.4799995535727874,counting-1,counting,1,1234,counting-1 | in_memory
in_memory,1 to 2,182631,77591,89078,15962,-11487.0,0.4248512026983371,0.4877485202402659,0.08740027706139702,-0.0628973175419288,153764,141041,0.5215786706466987,0.47842132935330134,counting-1,counting,1,1234,counting-1 | in_memory
in_memory,>= 3,88851,37885,43591,7375,-5706.0,0.4263879978840981,0.49060787160527175,0.08300413051063016,-0.06421987372117365,77013,62325,0.5527063686862163,0.44729363131378375,counting-1,counting,1,1234,counting-1 | in_memory
in_memory,<= -3,92697,40138,43132,9427,-2994.0,0.43300214677929166,0.46530092667508116,0.10169692654562715,-0.032298779895789505,72806,68912,0.5137385512073273,0.48626144879267275,counting-1,counting,1,4321,counting-1 | in_memory
in_memory,-2 to 0,635807,272932,301953,60922,-29021.0,0.42926863026044065,0.4749129846006728,0.09581838513888649,-0.04564435434023218,512647,473206,0.520003489364033,0.47999651063596704,counting-1,counting,1,4321,counting-1 | in_memory
in_memory,1 to 2,182600,77562,89077,15961,-11515.0,0.4247645125958379,0.48782584884994523,0.08740963855421686,-0.06306133625410734,153736,141013,0.5215827704250057,0.47841722957499433,counting-1,counting,1,4321,counting-1 | in_memory
in_memory,>= 3,88896,37904,43608,7384,-5704.0,0.4263858891288697,0.49055075593952485,0.08306335493160547,-0.06416486681065514,77064,62361,0.5527272727272727,0.44727272727272727,counting-1,counting,1,4321,counting-1 | in_memory
in_memory,<= -3,92319,39946,42980,9393,-3034.0,0.4326953281556343,0.46555963561130426,0.10174503623306146,-0.03286430745567001,72528,68626,0.5138217833005086,0.48617821669949135,counting-1,counting,1,9876,counting-1 | in_memory
in_memory,-2 to 0,635422,272668,301776,60978,-29108.0,0.4291132507215677,0.4749221777023773,0.09596457157605497,-0.04580892698080961,512304,473035,0.5199266445355355,0.4800733554644645,counting-1,counting,1,9876,counting-1 | in_memory
in_memory,1 to 2,183258,77857,89402,15999,-11545.0,0.4248491198201443,0.48784773379606894,0.08730314638378679,-0.06299861397592466,154243,141551,0.5214541200970946,0.4785458799029054,counting-1,counting,1,9876,counting-1 | in_memory
in_memory,>= 3,89001,37972,43667,7362,-5695.0,0.4266468916079595,0.49063493668610464,0.08271817170593589,-0.06398804507814519,77196,62526,0.55249710138704,0.44750289861296,counting-1,counting,1,9876,counting-1 | in_memory
in_memory,<= -3,90960,39922,42088,8950,-2166.0,0.438896218117854,0.4627088830255057,0.09839489885664028,-0.023812664907651715,73895,62193,0.5429942390218094,0.45700576097819057,baseline-42,baseline,42,1234,baseline-42 | in_memory
in_memory,-2 to 0,636964,272564,303982,60418,-31418.0,0.42791115353457965,0.47723576214668334,0.09485308431873701,-0.049324608612103665,514571,460722,0.5276065756649541,0.472393424335046,baseline-42,baseline,42,1234,baseline-42 | in_memory
in_memory,1 to 2,184496,78000,90451,16045,-12451.0,0.4227733934611049,0.49025995143526147,0.08696665510363369,-0.06748655797415662,151803,146767,0.5084335331747999,0.4915664668252001,baseline-42,baseline,42,1234,baseline-42 | in_memory
